brand,screen_size,harddisk,cpu,OS,price,integer_ram
Asus,16.0,1000.0,Ryzen,Win,1589.99,16.0
Asus,15.6,1.0,Ryzen,Win,1399.99,32.0
Dell,13.4,512.0,Intel,Win,1229.99,16.0
Dell,15.6,512.0,Intel,Win,1129.99,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,14.0,256.0,Intel,Win,479.99,8.0
Hp,16.0,32.0,AMD,Chrome OS,94.98,4.0
Lg,17.0,2.0,Intel,Win,2296.99,32.0
Asus,16.0,1.0,Intel,Win,1699.99,32.0
Asus,16.0,1.0,Intel,Win,1484.99,16.0
Dell,14.0,512.0,Intel,Win,1666.4,16.0
Hp,15.6,256.0,Intel,Win,503.58,12.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Microsoft,12.45,256.0,Intel,Win,529.0,8.0
Hp,14.0,64.0,Celeron,Win,299.0,8.0
Lenovo,14.0,512.0,Intel,Win,535.99,16.0
Lenovo,14.0,128.0,Pentium,Win,191.87,4.0
Apple,16.0,1.0,Others,Mac,3059.0,32.0
Asus,15.6,64.0,Celeron,Chrome OS,247.05,8.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Acer,13.3,64.0,Snapdragon,Chrome OS,424.46,8.0
Razer,16.0,1.0,Intel,Win,3611.89,32.0
Hp,15.0,1.0,Ryzen,Win,685.0,32.0
Lg,16.0,512.0,Intel,Win,1284.93,16.0
Hp,14.0,256.0,Intel,Win,570.0,8.0
Hp,17.3,256.0,Intel,Win,576.99,8.0
Lenovo,14.0,1.0,Intel,Win,1949.99,32.0
Lg,16.0,1.0,Intel,Win,1757.57,32.0
Hp,17.3,1.0,Intel,Win,557.0,16.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Msi,17.3,1.0,Intel,Win,1999.99,32.0
Lenovo,14.0,256.0,Intel,Win,219.0,16.0
Asus,16.0,32.0,Intel,Win,2199.0,32.0
Asus,14.5,1.0,Intel,Win,2299.99,32.0
Asus,16.0,512.0,Ryzen,Win,561.0,8.0
Lenovo,14.0,256.0,Pentium,Win,181.99,4.0
Msi,16.0,1.0,Intel,Win,2091.05,16.0
Asus,16.0,2.0,Intel,Win,2499.0,32.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,14.0,64.0,Celeron,Win,231.85,4.0
Hp,14.0,256.0,Intel,Win,514.99,8.0
Asus,15.6,1.0,Intel,Win,2849.0,32.0
Hp,15.6,1000.0,Intel,Win,579.99,32.0
Asus,11.6,64.0,Celeron,Win,279.99,4.0
Lenovo,15.6,256.0,Intel,Win,561.99,12.0
Lenovo,16.0,256.0,Intel,Win,682.0,8.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
